,Epoch,Trainset Loss,Testset Loss,Trainset Accuracy,Testset Accuracy,Trainset Classwise Accuracy,Testset Classwise Accuracy
22,23,11.782950601511402,412.71874019503593,99.844,72.98,"{'plane': 99.92, 'car': 99.88, 'bird': 99.82, 'cat': 99.83999999999999, 'deer': 99.82, 'dog': 99.74, 'frog': 99.8, 'horse': 99.82, 'ship': 99.92, 'truck': 99.88}","{'plane': 76.7, 'car': 86.0, 'bird': 61.4, 'cat': 54.0, 'deer': 66.60000000000001, 'dog': 59.9, 'frog': 77.7, 'horse': 78.9, 'ship': 83.7, 'truck': 84.89999999999999}"
23,24,8.509167955708108,416.2164548635483,99.9,73.17,"{'plane': 99.86, 'car': 99.96000000000001, 'bird': 99.92, 'cat': 99.83999999999999, 'deer': 99.98, 'dog': 99.82, 'frog': 99.94, 'horse': 99.92, 'ship': 99.9, 'truck': 99.86}","{'plane': 76.5, 'car': 86.7, 'bird': 62.8, 'cat': 50.0, 'deer': 66.3, 'dog': 65.9, 'frog': 80.0, 'horse': 75.9, 'ship': 85.6, 'truck': 82.0}"
24,25,6.791290199995274,417.24810841679573,99.926,72.99,"{'plane': 99.96000000000001, 'car': 99.94, 'bird': 99.86, 'cat': 99.83999999999999, 'deer': 100.0, 'dog': 99.92, 'frog': 99.88, 'horse': 99.92, 'ship': 99.96000000000001, 'truck': 99.98}","{'plane': 73.6, 'car': 87.9, 'bird': 62.4, 'cat': 52.6, 'deer': 65.3, 'dog': 66.7, 'frog': 76.2, 'horse': 77.8, 'ship': 85.1, 'truck': 82.3}"
25,26,6.609297239469015,406.621943756938,99.924,73.33,"{'plane': 99.82, 'car': 99.98, 'bird': 99.9, 'cat': 99.76, 'deer': 99.98, 'dog': 99.92, 'frog': 99.94, 'horse': 99.96000000000001, 'ship': 100.0, 'truck': 99.98}","{'plane': 77.2, 'car': 86.1, 'bird': 64.5, 'cat': 54.6, 'deer': 63.0, 'dog': 61.199999999999996, 'frog': 81.3, 'horse': 76.9, 'ship': 86.2, 'truck': 82.3}"
26,27,4.515072626141773,410.253547757864,99.966,73.71,"{'plane': 99.94, 'car': 99.96000000000001, 'bird': 100.0, 'cat': 99.92, 'deer': 99.98, 'dog': 99.94, 'frog': 100.0, 'horse': 99.98, 'ship': 99.98, 'truck': 99.96000000000001}","{'plane': 79.4, 'car': 85.8, 'bird': 62.3, 'cat': 53.0, 'deer': 63.3, 'dog': 65.7, 'frog': 81.10000000000001, 'horse': 76.2, 'ship': 85.9, 'truck': 84.39999999999999}"
27,28,3.7798991965391906,409.1231363117695,99.968,73.16,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 99.98, 'deer': 99.9, 'dog': 99.96000000000001, 'frog': 99.9, 'horse': 99.98, 'ship': 100.0, 'truck': 99.96000000000001}","{'plane': 75.6, 'car': 85.8, 'bird': 58.9, 'cat': 52.800000000000004, 'deer': 65.60000000000001, 'dog': 65.10000000000001, 'frog': 80.2, 'horse': 76.1, 'ship': 86.6, 'truck': 84.89999999999999}"
28,29,3.7798779025979456,401.8137811422348,99.976,73.8,"{'plane': 100.0, 'car': 99.96000000000001, 'bird': 100.0, 'cat': 99.94, 'deer': 99.92, 'dog': 99.98, 'frog': 100.0, 'horse': 99.98, 'ship': 100.0, 'truck': 99.98}","{'plane': 78.2, 'car': 86.3, 'bird': 58.9, 'cat': 53.300000000000004, 'deer': 67.60000000000001, 'dog': 64.8, 'frog': 81.69999999999999, 'horse': 77.5, 'ship': 85.9, 'truck': 83.8}"
29,30,2.201434457398136,394.3568295687437,99.996,74.05000000000001,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 99.96000000000001, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 77.7, 'car': 87.2, 'bird': 61.4, 'cat': 53.300000000000004, 'deer': 67.30000000000001, 'dog': 64.60000000000001, 'frog': 81.89999999999999, 'horse': 76.6, 'ship': 86.7, 'truck': 83.8}"
30,31,2.2447790698497556,391.7580795288086,99.992,74.2,"{'plane': 100.0, 'car': 100.0, 'bird': 99.98, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 99.98, 'horse': 99.98, 'ship': 100.0, 'truck': 99.98}","{'plane': 79.3, 'car': 87.2, 'bird': 60.6, 'cat': 52.5, 'deer': 65.7, 'dog': 65.2, 'frog': 82.5, 'horse': 78.10000000000001, 'ship': 86.5, 'truck': 84.39999999999999}"
31,32,2.0514636491134297,387.71219006180763,99.998,74.17,"{'plane': 100.0, 'car': 99.98, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 77.4, 'car': 88.5, 'bird': 62.0, 'cat': 53.300000000000004, 'deer': 65.60000000000001, 'dog': 64.7, 'frog': 82.8, 'horse': 77.7, 'ship': 85.5, 'truck': 84.2}"
32,33,1.9979473251805757,382.95118856430054,99.994,74.25,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 99.98, 'deer': 100.0, 'dog': 100.0, 'frog': 99.98, 'horse': 100.0, 'ship': 99.98, 'truck': 100.0}","{'plane': 78.5, 'car': 87.1, 'bird': 62.2, 'cat': 53.300000000000004, 'deer': 68.10000000000001, 'dog': 64.7, 'frog': 82.0, 'horse': 76.4, 'ship': 86.2, 'truck': 84.0}"
